"lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","v_97","v_137","v_84","v_85","v_86","v_87","v_88","v_89","v_121","v_122","v_123","v_100","v_101","v_102","v_103","v_104","v_105","v_106","v_107","v_108","v_51","v_52","v_56","v_57","v_64","v_65","dupl1_v_51","v_83","dupl1_v_52","v_63","dupl2_v_51","dupl2_v_52","dupl3_v_51","dupl3_v_52","v_70","dupl4_v_51","dupl4_v_52","v_73","dupl5_v_51","dupl5_v_52","dupl6_v_51","dupl6_v_52","dupl7_v_51","dupl7_v_52","v_81","v_82","v_124","v_125","v_126","v_127","v_128","v_129","v_130","v_131","v_132","v_133","v_134","v_135","v_136","browser","referer","device_type","participant_browser","participant_browser_version","participant_os","participant_device","participant_brand","participant_model","participant_isbot","participant_continent","participant_country","participant_region","participant_city","participant_latitude","participant_longitude","quota","quota_assignment","quota_rejected_id","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","rts6926544","rts6926545","rts6926546","rts6926547","rts6929711","rts6932242","v_120"
19,0,0,31,6926548,-77,688,1,1,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/129.0.6668.69 Mobile/15E148 Safari/604.1","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",0,1,0,-77,-77,"913a67baeb54c943e3373255ae4dc93a",1,0,1730982573,"2024-11-07 12:29:33","2024-11-07 12:41:01","0000-00-00 00:00:00",91,226,282,686,688,10,2240398710
22,0,0,31,6926548,-77,715,1,1,4,4,3,4,4,3,2,3,2,4,4,4,4,2,4,2,4,2,4,4,4,4,4,3,4,4,4,4,4,4,4,2,3,4,3,3,4,4,4,4,4,3,3,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",0,1,0,-77,-77,"d48b5efc100af7b7942c341d8d9c6591",1,0,1730982600,"2024-11-07 12:30:00","2024-11-07 12:41:55","0000-00-00 00:00:00",149,257,334,699,715,30,3736563523
28,0,0,31,6926548,-77,698,2,1,2,4,2,3,4,3,2,4,1,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6926547,6926547,6929711,6926548",1,0,0,-77,-77,"831cc4b9378baa88b4998c818108d409",1,0,1730982626,"2024-11-07 12:30:26","2024-11-07 12:42:04","0000-00-00 00:00:00",89,234,301,692,698,43,769212299
45,0,0,31,6926548,-77,270,2,1,3,3,3,4,2,2,5,3,2,1,4,1,3,2,2,3,3,2,1,2,1,1,2,3,1,2,3,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36 Edg/130.0.0.0 LikeWise/92.6.3135.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926545,6926545,6926546,6926546,6926546,6926547,6926547,6926547,6929711,6926548",1,0,0,-77,-77,"4158aa3fdd8c31c98e2114f1bd6fadb0",1,0,1730983086,"2024-11-07 12:38:06","2024-11-07 12:42:36","0000-00-00 00:00:00",28,65,125,265,270,6,3281631346
34,0,0,31,6926548,-77,682,2,1,5,5,4,3,4,4,4,3,2,5,5,3,5,4,4,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,3,2,2,4,4,4,3,4,4,4,4,4,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"f7534fe829a81a7aeabd45e3f194d7c3",1,0,1730982712,"2024-11-07 12:31:52","2024-11-07 12:43:14","0000-00-00 00:00:00",150,282,359,674,682,39,3221700810
26,0,0,31,6926548,-77,785,2,1,3,4,2,1,5,3,4,1,4,3,4,1,4,3,2,4,4,3,1,4,5,5,5,3,2,3,3,3,4,4,5,1,4,4,4,3,3,3,4,3,3,2,3,4,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6929711,6926548",0,1,0,-77,-77,"082282d63b6f248e8cff9d122033aef4",1,0,1730982614,"2024-11-07 12:30:14","2024-11-07 12:43:19","0000-00-00 00:00:00",39,230,346,778,785,11,77289047
43,0,0,31,6926548,-77,413,1,1,5,5,2,1,5,3,5,5,1,4,4,4,5,1,4,3,3,2,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Safari/605.1.15","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",0,1,0,-77,-77,"e7144fa08876b2c61db4addfc065a8f8",1,0,1730983021,"2024-11-07 12:37:01","2024-11-07 12:43:54","0000-00-00 00:00:00",99,171,240,411,413,18,1391474498
18,0,0,31,6926548,-77,907,2,1,2,1,1,1,4,3,1,1,1,3,1,4,1,1,1,1,2,2,4,4,5,5,5,1,1,1,5,5,3,3,5,3,2,2,2,2,4,1,2,2,1,1,2,4,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Mobile/15E148 Safari/604.1","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",1,1,0,-77,-77,"2f90774cc86ca155995be51914ef0bc9",1,0,1730982565,"2024-11-07 12:29:25","2024-11-07 12:44:32","0000-00-00 00:00:00",55,192,443,896,907,21,2636394146
31,0,0,31,6926548,-77,855,1,1,4,5,5,4,5,5,2,4,4,4,5,2,5,4,3,2,5,2,4,4,4,5,5,3,3,3,3,3,2,3,4,3,1,3,3,3,4,1,3,2,2,2,3,4,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"11be742efbd1c17ce021e6e0bf37649d",1,0,1730982650,"2024-11-07 12:30:50","2024-11-07 12:45:05","0000-00-00 00:00:00",86,258,442,844,855,36,338070105
33,0,0,31,6926548,-77,800,1,1,4,4,3,3,5,3,2,4,4,5,3,2,4,3,4,2,4,2,5,4,4,5,5,4,3,4,4,3,4,3,4,3,3,3,3,3,4,1,4,3,3,4,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/125.0.6422.80 Mobile/15E148 Safari/604.1","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",1,1,0,-77,-77,"e5bcf965b67f82f04d66c523f7e4862c",1,0,1730982707,"2024-11-07 12:31:47","2024-11-07 12:45:07","0000-00-00 00:00:00",31,184,276,784,800,7,891697735
41,0,0,31,6926548,-77,750,2,1,5,5,5,1,5,4,2,4,4,5,5,5,4,4,5,2,4,4,5,5,5,5,5,5,4,4,4,4,4,3,5,1,2,4,4,4,5,3,5,4,5,4,5,4,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",1,0,0,-77,-77,"df5c82510a11bb4542d856445e94ebec",1,0,1730982795,"2024-11-07 12:33:15","2024-11-07 12:45:45","0000-00-00 00:00:00",177,311,395,729,750,80,3663090538
21,0,0,31,6926548,-77,1018,2,1,1,1,1,1,1,1,1,1,1,1,4,1,3,1,4,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,3,4,1,1,1,1,1,1,1,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926544,6926545,6926546,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"b84204ac72bff95b23ca7ded127ac2c9",1,0,1730982576,"2024-11-07 12:29:36","2024-11-07 12:46:34","0000-00-00 00:00:00",293,426,563,1014,1018,275,1929345584
25,0,0,31,6926548,-77,1001,2,1,2,2,2,4,2,2,2,2,1,4,2,2,2,2,4,2,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,4,4,4,4,4,4,4,2,2,2,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","android-app://com.google.android.googlequicksearchbox/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",1,1,0,-77,-77,"65a9ee4bd4404fdda91f0b7eafe1936f",1,0,1730982610,"2024-11-07 12:30:10","2024-11-07 12:46:51","0000-00-00 00:00:00",225,584,700,995,1001,42,796797807
40,0,0,31,6926548,-77,854,1,1,4,4,4,4,2,4,2,3,2,4,4,4,3,1,4,2,2,4,4,4,5,3,3,3,4,4,3,3,4,3,4,3,3,2,4,3,3,2,2,4,4,3,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/26.0 Chrome/122.0.0.0 Mobile Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",1,1,0,-77,-77,"a332ded111630a0301454fed2d9a4e3d",1,0,1730982786,"2024-11-07 12:33:06","2024-11-07 12:47:20","0000-00-00 00:00:00",60,152,451,845,854,10,3981971461
27,0,0,31,6926548,-77,1017,1,1,4,2,2,3,4,4,2,2,2,4,5,2,2,2,2,4,4,4,3,5,5,4,4,4,4,2,3,4,4,4,4,2,2,3,3,2,4,2,3,2,4,4,4,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926544,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"09cad4626d5086ce8ce2db3147c8a76d",1,0,1730982624,"2024-11-07 12:30:24","2024-11-07 12:47:21","0000-00-00 00:00:00",157,277,456,993,1017,38,2103341432
42,0,0,31,6926548,-77,1247,2,1,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36","android-app://com.google.android.googlequicksearchbox/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926544,6926545,6926546,6926547,6926547,6926547,6929711,6926548",1,0,0,-77,-77,"2b973d38f141e5ec37aa818d76108a75",1,0,1730982842,"2024-11-07 12:34:02","2024-11-07 12:54:49","0000-00-00 00:00:00",299,530,634,1217,1247,5,1247638355
46,0,0,31,6926548,-77,1291,1,1,4,4,4,4,4,4,1,2,1,1,4,4,2,1,4,1,1,2,3,3,4,1,4,3,2,3,3,3,2,4,4,4,4,2,1,3,2,2,5,2,2,2,2,5,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36","-99",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926545,6926546,6926547,6929711,6926548",0,1,0,-77,-77,"b8f91726f7757253b2f8838d867ad1ff",1,0,1730983087,"2024-11-07 12:38:07","2024-11-07 12:59:39","0000-00-00 00:00:00",54,171,294,1282,1292,17,3838810895
48,0,0,31,6926548,-77,956,1,1,5,3,4,4,2,3,3,5,2,5,5,4,4,5,3,4,4,4,4,5,4,4,4,3,4,4,4,4,2,1,3,3,4,4,2,3,4,1,3,1,4,4,4,2,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",1,0,0,-77,-77,"e938108d2a3e262707663e00f533eec2",1,0,1730983519,"2024-11-07 12:45:19","2024-11-07 13:01:15","0000-00-00 00:00:00",298,494,572,915,956,244,1172832353
49,0,0,31,6926548,-77,973,1,1,5,5,5,5,5,5,1,5,1,3,5,5,4,3,3,2,4,3,5,5,4,4,4,4,4,4,4,4,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36","https://elearning.ovgu.de/",0,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-66,0,"6932242,6926544,6926544,6926544,6926545,6926546,6926547,6929711,6926548",0,0,0,-77,-77,"21c073d78f11c03d95bde58011ee34d4",1,0,1730983717,"2024-11-07 12:48:37","2024-11-07 13:04:50","0000-00-00 00:00:00",97,216,317,969,973,41,200458087
